GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishSupport,139,339,21,21,39,69,17,13,0,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,GraphWorkspaceMojo,20,503,11,43,2,92,10,27,0,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,WorkspaceReport,102,64,13,1,24,20,9,2,2,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAlignMojo.ComponentVersion,9,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,PomModel,229,0,20,0,62,0,24,0,14,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsPostReleaseMojo,406,0,20,0,94,0,12,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,InitWorkspaceMojo,411,344,38,24,93,81,30,12,3,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCheckpointMojo,284,551,34,32,66,116,30,16,4,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAlignMojo.AlignChange,18,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,SyncMojo,143,66,17,3,43,18,11,3,1,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCreateMojo,1121,0,44,0,220,0,33,0,11,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartMojo,498,1143,57,97,111,235,46,40,0,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,CheckpointSupport,213,312,10,6,27,61,6,5,0,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseNotesMojo,85,0,8,0,17,0,6,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishSquashMojo,37,411,11,27,7,93,9,14,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,AbstractWorkspaceMojo,82,194,16,10,26,44,11,16,0,14
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishMergeMojo,78,320,20,20,15,75,17,7,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReportMojo,46,0,6,0,13,0,5,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsUpgradeMojo,798,0,88,0,173,0,52,0,8,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,ComponentSnapshot,0,27,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseMojo,301,709,22,48,57,132,16,34,1,14
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsHelpMojo,328,0,0,0,83,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishRebaseMojo,291,102,31,5,65,25,19,3,1,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,PomParentSupport.ParentInfo,12,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAddMojo.DerivedDep,0,9,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,PushMojo,58,0,0,0,14,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCheckpointDryRunMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSyncMojo,11,314,5,25,5,66,5,14,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsRemoveMojo,367,0,26,0,89,0,20,0,7,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAddMojo,1582,501,208,54,340,135,131,30,17,13
IKE Workspace Maven Plugin,network.ike.plugin.ws,StatusWorkspaceMojo,30,220,5,11,3,40,5,5,0,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,CheckBranchMojo,291,0,30,0,65,0,19,0,4,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReportLog,67,42,0,0,15,11,12,6,12,6
IKE Workspace Maven Plugin,network.ike.plugin.ws,StignoreWorkspaceMojo,9,273,1,3,2,35,1,8,0,7
IKE Workspace Maven Plugin,network.ike.plugin.ws,PomParentSupport,33,20,3,1,7,6,3,3,1,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAlignMojo,951,0,108,0,216,0,60,0,6,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,VerifyWorkspaceMojo,452,561,54,32,122,146,41,17,1,12
IKE Workspace Maven Plugin,network.ike.plugin.ws,CommitMojo,34,65,4,4,8,16,4,2,0,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsFixMojo,364,0,44,0,95,0,28,0,6,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseMojo.ReleaseCandidate,0,18,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDryRunMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,DashboardWorkspaceMojo,50,316,9,21,8,66,8,9,0,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,PullWorkspaceMojo,147,0,10,0,35,0,7,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureAbandonMojo,729,0,66,0,148,0,39,0,6,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,CascadeWorkspaceMojo,2,195,3,9,0,34,3,5,0,2
IKE Workspace Maven Plugin,network.ike.plugin.ws.vcs,VcsState,10,162,4,6,4,37,3,9,0,7
IKE Workspace Maven Plugin,network.ike.plugin.ws.vcs,VcsOperations,198,576,5,23,37,100,10,32,5,23
